-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_LW_DWN
36.75,-9.25,2020,001,   78.32,   15.68,             15.96,             28.93
36.75,-8.75,2020,001,   80.11,   15.13,             15.96,             27.10
36.75,-8.25,2020,001,   81.78,   14.62,             15.96,             27.10
36.75,-7.75,2020,001,   81.66,   14.51,             15.96,             25.50
36.75,-7.25,2020,001,   80.62,   14.35,             15.96,             25.50
36.75,-6.75,2020,001,   79.79,   13.76,             15.96,             25.34
36.75,-6.25,2020,001,   80.91,   12.36,             15.96,             25.34
36.75,-5.75,2020,001,   80.10,   11.09,             15.96,             25.66
36.75,-5.25,2020,001,   81.07,   10.71,             15.96,             25.66
36.75,-4.75,2020,001,   81.80,   10.85,             15.96,             27.41
37.25,-9.25,2020,001,   76.66,   14.66,             15.32,             25.68
37.25,-8.75,2020,001,   81.24,   12.73,             15.32,             23.80
37.25,-8.25,2020,001,   85.17,   11.43,             15.32,             23.80
37.25,-7.75,2020,001,   85.19,   11.39,             15.32,             23.36
37.25,-7.25,2020,001,   83.51,   11.54,             15.32,             23.36
37.25,-6.75,2020,001,   81.98,   11.30,             15.32,             23.63
37.25,-6.25,2020,001,   81.82,   10.51,             15.32,             23.63
37.25,-5.75,2020,001,   80.30,   10.27,             15.32,             23.49
37.25,-5.25,2020,001,   80.74,    9.98,             15.32,             23.49
37.25,-4.75,2020,001,   80.47,    9.67,             15.32,             23.26
37.75,-9.25,2020,001,   76.56,   13.94,             15.32,             25.68
37.75,-8.75,2020,001,   82.15,   11.15,             15.32,             23.80
