-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (MJ/m^2/day) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_LW_DWN
47.75,7.25,2020,001,   91.72,   -1.02,              9.22,             21.53
47.75,7.75,2020,001,   92.44,   -0.96,              9.22,             21.53
47.75,8.25,2020,001,   91.42,   -0.85,              9.22,             22.30
47.75,8.75,2020,001,   87.36,   -0.77,              9.22,             22.30
47.75,9.25,2020,001,   82.36,   -0.24,              9.22,             22.30
47.75,9.75,2020,001,   76.84,    0.20,              9.22,             22.30
47.75,10.25,2020,001,   72.76,    0.20,              9.22,             17.33
47.75,10.75,2020,001,   71.39,   -0.24,              9.22,             17.33
47.75,11.25,2020,001,   74.15,   -0.75,              9.22,             17.33
47.75,11.75,2020,001,   75.79,   -1.18,              9.22,             17.33
48.25,7.25,2020,001,   92.16,   -0.85,              8.63,             23.50
48.25,7.75,2020,001,   93.56,   -0.86,              8.63,             23.50
48.25,8.25,2020,001,   95.17,   -1.19,              8.63,             20.72
48.25,8.75,2020,001,   95.87,   -1.62,              8.63,             20.72
48.25,9.25,2020,001,   96.20,   -1.31,              8.63,             20.72
48.25,9.75,2020,001,   93.29,   -0.72,              8.63,             20.72
48.25,10.25,2020,001,   90.40,   -0.34,              8.63,             20.53
48.25,10.75,2020,001,   88.82,   -0.28,              8.63,             20.53
48.25,11.25,2020,001,   88.24,   -0.31,              8.63,             20.53
48.25,11.75,2020,001,   88.41,   -0.38,              8.63,             20.53
48.75,7.25,2020,001,   94.00,   -0.44,              8.63,             23.50
48.75,7.75,2020,001,   93.99,   -0.27,              8.63,             23.50
