-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (MJ/m^2/day) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_LW_DWN
50.25,14.25,2020,001,   93.30,   -0.41,              7.45,             20.42
50.25,14.75,2020,001,   94.93,   -0.50,              7.45,             20.42
50.25,15.25,2020,001,   96.26,   -0.77,              7.45,             20.42
50.25,15.75,2020,001,   97.20,   -1.02,              7.45,             20.42
50.25,16.25,2020,001,   97.43,   -1.12,              7.45,             19.93
50.25,16.75,2020,001,   96.50,   -1.07,              7.45,             19.93
50.25,17.25,2020,001,   95.79,   -0.92,              7.45,             19.93
50.25,17.75,2020,001,   95.62,   -0.71,              7.45,             19.93
50.25,18.25,2020,001,   95.87,   -0.59,              7.45,             22.41
50.25,18.75,2020,001,   96.03,   -0.79,              7.45,             22.41
50.75,14.25,2020,001,   93.88,   -0.07,              7.45,             20.42
50.75,14.75,2020,001,   95.63,   -0.27,              7.45,             20.42
50.75,15.25,2020,001,   96.35,   -0.51,              7.45,             20.42
50.75,15.75,2020,001,   96.21,   -0.62,              7.45,             20.42
50.75,16.25,2020,001,   95.79,   -0.47,              7.45,             19.93
50.75,16.75,2020,001,   95.70,   -0.28,              7.45,             19.93
50.75,17.25,2020,001,   95.41,   -0.11,              7.45,             19.93
50.75,17.75,2020,001,   95.45,   -0.08,              7.45,             19.93
50.75,18.25,2020,001,   95.75,   -0.21,              7.45,             22.41
50.75,18.75,2020,001,   95.68,   -0.50,              7.45,             22.41
51.25,14.25,2020,001,   94.81,    0.44,              6.86,             21.99
51.25,14.75,2020,001,   95.84,    0.37,              6.86,             21.99
51.25,15.25,2020,001,   95.94,    0.32,              6.86,             21.99
51.25,15.75,2020,001,   95.39,    0.35,              6.86,             21.99
51.25,16.25,2020,001,   95.12,    0.49,              6.86,             22.00
51.25,16.75,2020,001,   95.64,    0.50,              6.86,             22.00
51.25,17.25,2020,001,   95.91,    0.42,              6.86,             22.00
51.25,17.75,2020,001,   96.02,    0.24,              6.86,             22.00
51.25,18.25,2020,001,   95.99,   -0.00,              6.86,             23.61
51.25,18.75,2020,001,   95.81,   -0.24,              6.86,             23.61
51.75,14.25,2020,001,   96.94,    0.76,              6.86,             21.99
51.75,14.75,2020,001,   96.57,    0.84,              6.86,             21.99
51.75,15.25,2020,001,   95.95,    0.94,              6.86,             21.99
51.75,15.75,2020,001,   95.40,    1.01,              6.86,             21.99
51.75,16.25,2020,001,   95.18,    1.00,              6.86,             22.00
51.75,16.75,2020,001,   95.50,    0.87,              6.86,             22.00
51.75,17.25,2020,001,   95.63,    0.68,              6.86,             22.00
