-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (MJ/m^2/day) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_LW_DWN
48.75,12.25,2020,001,   90.87,   -1.14,              8.63,             19.72
48.75,12.75,2020,001,   90.11,   -1.54,              8.63,             19.72
48.75,13.25,2020,001,   90.19,   -2.13,              8.63,             19.72
48.75,13.75,2020,001,   89.22,   -2.33,              8.63,             19.72
48.75,14.25,2020,001,   87.44,   -1.66,              8.63,             19.61
48.75,14.75,2020,001,   87.58,   -1.19,              8.63,             19.61
48.75,15.25,2020,001,   88.91,   -0.84,              8.63,             19.61
48.75,15.75,2020,001,   90.78,   -0.50,              8.63,             19.61
48.75,16.25,2020,001,   92.50,   -0.08,              8.63,             19.84
48.75,16.75,2020,001,   94.45,    0.07,              8.63,             19.84
48.75,17.25,2020,001,   94.68,    0.02,              8.63,             19.84
48.75,17.75,2020,001,   94.61,   -0.31,              8.63,             19.84
48.75,18.25,2020,001,   95.03,   -0.98,              8.63,             19.60
49.25,12.25,2020,001,   89.25,   -1.53,              8.04,             18.93
49.25,12.75,2020,001,   87.90,   -1.59,              8.04,             18.93
49.25,13.25,2020,001,   87.76,   -1.75,              8.04,             18.93
49.25,13.75,2020,001,   88.18,   -1.65,              8.04,             18.93
49.25,14.25,2020,001,   88.53,   -0.92,              8.04,             20.45
49.25,14.75,2020,001,   90.33,   -0.75,              8.04,             20.45
49.25,15.25,2020,001,   92.33,   -0.85,              8.04,             20.45
49.25,15.75,2020,001,   93.79,   -0.93,              8.04,             20.45
49.25,16.25,2020,001,   94.56,   -0.63,              8.04,             20.07
49.25,16.75,2020,001,   95.89,   -0.49,              8.04,             20.07
49.25,17.25,2020,001,   96.02,   -0.60,              8.04,             20.07
49.25,17.75,2020,001,   95.94,   -0.98,              8.04,             20.07
49.25,18.25,2020,001,   96.27,   -1.61,              8.04,             21.95
49.75,12.25,2020,001,   90.80,   -1.99,              8.04,             18.93
49.75,12.75,2020,001,   89.29,   -1.81,              8.04,             18.93
49.75,13.25,2020,001,   88.91,   -1.54,              8.04,             18.93
49.75,13.75,2020,001,   89.75,   -1.10,              8.04,             18.93
49.75,14.25,2020,001,   90.92,   -0.62,              8.04,             20.45
49.75,14.75,2020,001,   92.85,   -0.59,              8.04,             20.45
49.75,15.25,2020,001,   94.84,   -0.83,              8.04,             20.45
49.75,15.75,2020,001,   96.31,   -1.12,              8.04,             20.45
49.75,16.25,2020,001,   96.91,   -1.13,              8.04,             20.07
49.75,16.75,2020,001,   96.64,   -1.11,              8.04,             20.07
49.75,17.25,2020,001,   96.57,   -1.18,              8.04,             20.07
49.75,17.75,2020,001,   96.51,   -1.26,              8.04,             20.07
49.75,18.25,2020,001,   96.59,   -1.40,              8.04,             21.95
50.25,12.25,2020,001,   91.10,   -1.75,              7.45,             19.30
50.25,12.75,2020,001,   89.90,   -1.57,              7.45,             19.30
50.25,13.25,2020,001,   89.71,   -1.25,              7.45,             19.30
50.25,13.75,2020,001,   91.23,   -0.77,              7.45,             19.30
50.25,14.25,2020,001,   93.30,   -0.41,              7.45,             20.42
50.25,14.75,2020,001,   94.93,   -0.50,              7.45,             20.42
50.25,15.25,2020,001,   96.26,   -0.77,              7.45,             20.42
50.25,15.75,2020,001,   97.20,   -1.02,              7.45,             20.42
50.25,16.25,2020,001,   97.43,   -1.12,              7.45,             19.93
50.25,16.75,2020,001,   96.50,   -1.07,              7.45,             19.93
50.25,17.25,2020,001,   95.79,   -0.92,              7.45,             19.93
50.25,17.75,2020,001,   95.62,   -0.71,              7.45,             19.93
50.25,18.25,2020,001,   95.87,   -0.59,              7.45,             22.41
50.75,12.25,2020,001,   91.08,   -0.59,              7.45,             19.30
50.75,12.75,2020,001,   89.99,   -0.46,              7.45,             19.30
