-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (MJ/m^2/day) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_LW_DWN
50.25,-6.25,2020,001,   84.97,   10.33,              7.45,             29.71
50.25,-5.75,2020,001,   86.35,   10.12,              7.45,             29.43
50.25,-5.25,2020,001,   89.36,    9.78,              7.45,             29.43
50.25,-4.75,2020,001,   92.30,    9.45,              7.45,             29.43
50.25,-4.25,2020,001,   94.19,    9.20,              7.45,             29.43
50.25,-3.75,2020,001,   94.90,    9.04,              7.45,             27.96
50.25,-3.25,2020,001,   93.53,    9.22,              7.45,             27.96
50.25,-2.75,2020,001,   92.58,    9.17,              7.45,             27.96
50.25,-2.25,2020,001,   91.79,    9.02,              7.45,             27.96
50.25,-1.75,2020,001,   91.15,    8.82,              7.45,             28.79
50.75,-6.25,2020,001,   81.83,   10.16,              7.45,             29.71
50.75,-5.75,2020,001,   82.62,    9.94,              7.45,             29.43
50.75,-5.25,2020,001,   86.03,    9.50,              7.45,             29.43
50.75,-4.75,2020,001,   90.84,    8.72,              7.45,             29.43
50.75,-4.25,2020,001,   95.35,    7.85,              7.45,             29.43
50.75,-3.75,2020,001,   97.12,    7.49,              7.45,             27.96
50.75,-3.25,2020,001,   96.11,    7.68,              7.45,             27.96
50.75,-2.75,2020,001,   95.26,    7.70,              7.45,             27.96
50.75,-2.25,2020,001,   94.49,    7.61,              7.45,             27.96
50.75,-1.75,2020,001,   93.76,    7.44,              7.45,             28.79
51.25,-6.25,2020,001,   81.00,    9.87,              6.86,             28.94
51.25,-5.75,2020,001,   81.59,    9.71,              6.86,             29.30
51.25,-5.25,2020,001,   84.31,    9.33,              6.86,             29.30
51.25,-4.75,2020,001,   88.65,    8.59,              6.86,             29.30
51.25,-4.25,2020,001,   93.38,    7.63,              6.86,             29.30
51.25,-3.75,2020,001,   96.27,    6.90,              6.86,             26.07
51.25,-3.25,2020,001,   96.92,    6.57,              6.86,             26.07
51.25,-2.75,2020,001,   97.20,    6.38,              6.86,             26.07
51.25,-2.25,2020,001,   97.22,    6.13,              6.86,             26.07
51.25,-1.75,2020,001,   97.11,    5.75,              6.86,             26.15
51.75,-6.25,2020,001,   81.26,    9.49,              6.86,             28.94
51.75,-5.75,2020,001,   82.54,    9.32,              6.86,             29.30
51.75,-5.25,2020,001,   85.85,    8.70,              6.86,             29.30
51.75,-4.75,2020,001,   90.15,    7.80,              6.86,             29.30
51.75,-4.25,2020,001,   94.19,    6.85,              6.86,             29.30
51.75,-3.75,2020,001,   96.46,    6.09,              6.86,             26.07
51.75,-3.25,2020,001,   96.86,    5.73,              6.86,             26.07
51.75,-2.75,2020,001,   96.76,    5.83,              6.86,             26.07
51.75,-2.25,2020,001,   96.85,    5.68,              6.86,             26.07
51.75,-1.75,2020,001,   97.36,    5.03,              6.86,             26.15
52.25,-6.25,2020,001,   83.50,    8.60,              6.26,             26.28
52.25,-5.75,2020,001,   83.15,    9.01,              6.26,             29.29
52.25,-5.25,2020,001,   85.28,    8.68,              6.26,             29.29
52.25,-4.75,2020,001,   89.06,    7.75,              6.26,             29.29
52.25,-4.25,2020,001,   93.56,    6.43,              6.26,             29.29
52.25,-3.75,2020,001,   97.59,    5.03,              6.26,             26.16
52.25,-3.25,2020,001,   97.23,    4.89,              6.26,             26.16
52.25,-2.75,2020,001,   96.73,    5.25,              6.26,             26.16
52.25,-2.25,2020,001,   96.61,    5.26,              6.26,             26.16
52.25,-1.75,2020,001,   96.96,    4.68,              6.26,             26.86
52.75,-6.25,2020,001,   88.18,    7.13,              6.26,             26.28
52.75,-5.75,2020,001,   84.58,    8.46,              6.26,             29.29
52.75,-5.25,2020,001,   83.89,    8.92,              6.26,             29.29
52.75,-4.75,2020,001,   86.07,    8.38,              6.26,             29.29
52.75,-4.25,2020,001,   90.71,    6.94,              6.26,             29.29
52.75,-3.75,2020,001,   96.85,    4.90,              6.26,             26.16
52.75,-3.25,2020,001,   96.68,    4.84,              6.26,             26.16
52.75,-2.75,2020,001,   96.68,    4.93,              6.26,             26.16
52.75,-2.25,2020,001,   96.74,    4.82,              6.26,             26.16
52.75,-1.75,2020,001,   96.77,    4.43,              6.26,             26.86
53.25,-6.25,2020,001,   90.54,    6.40,              5.66,             25.46
53.25,-5.75,2020,001,   85.57,    8.15,              5.66,             28.04
53.25,-5.25,2020,001,   83.86,    8.91,              5.66,             28.04
53.25,-4.75,2020,001,   85.10,    8.63,              5.66,             28.04
53.25,-4.25,2020,001,   88.73,    7.50,              5.66,             28.04
53.25,-3.75,2020,001,   93.69,    5.90,              5.66,             25.64
53.25,-3.25,2020,001,   95.23,    5.37,              5.66,             25.64
53.25,-2.75,2020,001,   96.34,    4.84,              5.66,             25.64
53.25,-2.25,2020,001,   96.88,    4.38,              5.66,             25.64
53.25,-1.75,2020,001,   96.79,    4.05,              5.66,             24.91
53.75,-6.25,2020,001,   91.19,    6.23,              5.66,             25.46
53.75,-5.75,2020,001,   85.81,    8.06,              5.66,             28.04
53.75,-5.25,2020,001,   83.17,    9.02,              5.66,             28.04
53.75,-4.75,2020,001,   83.37,    9.08,              5.66,             28.04
53.75,-4.25,2020,001,   86.06,    8.40,              5.66,             28.04
53.75,-3.75,2020,001,   90.46,    7.29,              5.66,             25.64
53.75,-3.25,2020,001,   94.08,    5.95,              5.66,             25.64
53.75,-2.75,2020,001,   96.31,    4.72,              5.66,             25.64
53.75,-2.25,2020,001,   97.19,    3.86,              5.66,             25.64
53.75,-1.75,2020,001,   97.05,    3.51,              5.66,             24.91
54.25,-6.25,2020,001,   93.71,    5.53,              5.06,             25.80
54.25,-5.75,2020,001,   89.39,    7.15,              5.06,             28.08
54.25,-5.25,2020,001,   84.93,    8.44,              5.06,             28.08
54.25,-4.75,2020,001,   83.70,    8.84,              5.06,             28.08
54.25,-4.25,2020,001,   86.26,    8.31,              5.06,             28.08
54.25,-3.75,2020,001,   90.89,    7.24,              5.06,             25.80
54.25,-3.25,2020,001,   94.95,    5.72,              5.06,             25.80
