-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M,T2M,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_LW_DWN
38.75,7.25,2020,001,   68.95,   13.85,             14.68,             26.66
38.75,7.75,2020,001,   70.70,   13.68,             14.68,             26.66
38.75,8.25,2020,001,   72.68,   13.06,             14.68,             25.11
38.75,8.75,2020,001,   76.46,   11.40,             14.68,             25.11
38.75,9.25,2020,001,   69.55,   12.24,             14.68,             24.19
38.75,9.75,2020,001,   68.06,   13.14,             14.68,             24.19
38.75,10.25,2020,001,   68.71,   13.73,             14.68,             26.59
38.75,10.75,2020,001,   69.52,   13.94,             14.68,             26.59
38.75,11.25,2020,001,   69.22,   13.95,             14.68,             26.99
38.75,11.75,2020,001,   67.14,   13.92,             14.68,             26.99
39.25,7.25,2020,001,   69.95,   13.79,             14.03,             25.89
39.25,7.75,2020,001,   71.45,   13.46,             14.03,             25.89
39.25,8.25,2020,001,   74.94,   12.00,             14.03,             24.39
39.25,8.75,2020,001,   85.72,    7.85,             14.03,             24.39
39.25,9.25,2020,001,   74.83,    8.96,             14.03,             22.70
39.25,9.75,2020,001,   70.41,   11.77,             14.03,             22.70
39.25,10.25,2020,001,   69.39,   13.68,             14.03,             25.76
39.25,10.75,2020,001,   70.18,   14.03,             14.03,             25.76
39.25,11.25,2020,001,   69.60,   14.03,             14.03,             26.67
39.25,11.75,2020,001,   66.66,   14.02,             14.03,             26.67
39.75,7.25,2020,001,   70.59,   13.71,             14.03,             25.89
39.75,7.75,2020,001,   71.84,   13.40,             14.03,             25.89
39.75,8.25,2020,001,   75.61,   11.71,             14.03,             24.39
39.75,8.75,2020,001,   88.34,    6.56,             14.03,             24.39
39.75,9.25,2020,001,   81.62,    6.06,             14.03,             22.70
39.75,9.75,2020,001,   74.93,   10.22,             14.03,             22.70
